id,created_at,updated_at,language,name,description,is_alcoholic,category_id
718,2025-07-09 18:29:28.182+00,2025-07-09 18:29:28.182+00,RUS,Лимонная цедра,,False,31
719,2025-07-09 18:29:28.187+00,2025-07-09 18:29:28.187+00,RUS,Лимонный сок,,False,34
720,2025-07-09 18:29:28.194+00,2025-07-09 18:29:28.194+00,RUS,Лимонный сон,,False,34
721,2025-07-09 18:29:28.2+00,2025-07-09 18:29:28.2+00,RUS,Лимонный фреш,,False,34
722,2025-07-09 18:29:28.209+00,2025-07-09 18:29:28.209+00,RUS,Ложка молотого кофе,,False,47
723,2025-07-09 18:29:28.215+00,2025-07-09 18:29:28.215+00,RUS,Лондонский сухой джин,,True,45
724,2025-07-09 18:29:28.225+00,2025-07-09 18:29:28.225+00,RUS,Луковички для коктейлей,,False,48
725,2025-07-09 18:29:28.231+00,2025-07-09 18:29:28.231+00,RUS,Малина,,False,41
726,2025-07-09 18:29:28.237+00,2025-07-09 18:29:28.237+00,RUS,Малиновый ликер,,True,23
727,2025-07-09 18:29:28.243+00,2025-07-09 18:29:28.243+00,RUS,Малиновый сироп,,False,44
728,2025-07-09 18:29:28.249+00,2025-07-09 18:29:28.249+00,RUS,Мандариновый ликер,,True,23
729,2025-07-09 18:29:28.255+00,2025-07-09 18:29:28.255+00,RUS,Мандариновый сироп,,False,44
730,2025-07-09 18:29:28.262+00,2025-07-09 18:29:28.262+00,RUS,Мед,,False,39
731,2025-07-09 18:29:28.268+00,2025-07-09 18:29:28.268+00,RUS,Миндальный сироп,,False,44
732,2025-07-09 18:29:28.278+00,2025-07-09 18:29:28.278+00,RUS,Минеральная вода,,False,43
733,2025-07-09 18:29:28.284+00,2025-07-09 18:29:28.284+00,RUS,Можжевеловая настойка genever,,False,37
734,2025-07-09 18:29:28.29+00,2025-07-09 18:29:28.29+00,RUS,Молоко,,False,28
735,2025-07-09 18:29:28.297+00,2025-07-09 18:29:28.297+00,RUS,Молоко или сливки,,False,28
736,2025-07-09 18:29:28.302+00,2025-07-09 18:29:28.302+00,RUS,Молотая корица,,False,39
737,2025-07-09 18:29:28.309+00,2025-07-09 18:29:28.309+00,RUS,Мускатный орех,,False,39
738,2025-07-09 18:29:28.315+00,2025-07-09 18:29:28.315+00,RUS,Мята,,False,39
739,2025-07-09 18:29:28.321+00,2025-07-09 18:29:28.321+00,RUS,Мятный ликер,,True,23
740,2025-07-09 18:29:28.328+00,2025-07-09 18:29:28.328+00,RUS,Мятный сироп,,False,44
741,2025-07-09 18:29:28.333+00,2025-07-09 18:29:28.333+00,RUS,Мёд,,False,39
742,2025-07-09 18:29:28.34+00,2025-07-09 18:29:28.34+00,RUS,Нектар из маракуйи,,False,34
743,2025-07-09 18:29:28.347+00,2025-07-09 18:29:28.347+00,RUS,Нектар из сока маракуйи,,False,34
744,2025-07-09 18:29:28.354+00,2025-07-09 18:29:28.354+00,RUS,Огуречная кожура,,False,48
745,2025-07-09 18:29:28.362+00,2025-07-09 18:29:28.362+00,RUS,Оливка,,False,48
746,2025-07-09 18:29:28.37+00,2025-07-09 18:29:28.37+00,RUS,Оливки,,False,48
747,2025-07-09 18:29:28.376+00,2025-07-09 18:29:28.376+00,RUS,Очень холодное молоко,,False,28
748,2025-07-09 18:29:28.382+00,2025-07-09 18:29:28.382+00,RUS,Папайя,,False,31
749,2025-07-09 18:29:28.387+00,2025-07-09 18:29:28.387+00,RUS,Пахты,,False,28
750,2025-07-09 18:29:28.394+00,2025-07-09 18:29:28.394+00,RUS,Перец,,False,48
751,2025-07-09 18:29:28.401+00,2025-07-09 18:29:28.401+00,RUS,Перец черный молотый,,False,39
