id,created_at,updated_at,language,name,description,category_id
611,2025-08-18 16:04:54.242906+00,2025-08-18 16:04:54.24291+00,RUS,Белая,NULL,57
612,2025-08-18 16:04:54.243763+00,2025-08-18 16:04:54.243767+00,ENG,White,NULL,32
613,2025-08-18 16:04:54.245107+00,2025-08-18 16:04:54.245111+00,RUS,Черная,NULL,57
614,2025-08-18 16:04:54.245901+00,2025-08-18 16:04:54.245905+00,ENG,Black,NULL,32
615,2025-08-18 16:04:54.247422+00,2025-08-18 16:04:54.247432+00,RUS,Красная,NULL,57
616,2025-08-18 16:04:54.248451+00,2025-08-18 16:04:54.248456+00,ENG,Red,NULL,32
617,2025-08-18 16:04:54.25004+00,2025-08-18 16:04:54.250046+00,RUS,Зеленый,NULL,35
618,2025-08-18 16:04:54.250918+00,2025-08-18 16:04:54.250922+00,ENG,Green,NULL,4
619,2025-08-18 16:04:54.252292+00,2025-08-18 16:04:54.252296+00,RUS,Синий,NULL,35
620,2025-08-18 16:04:54.25313+00,2025-08-18 16:04:54.253133+00,ENG,Blue,NULL,4
621,2025-08-18 16:04:54.254481+00,2025-08-18 16:04:54.254484+00,RUS,Красный,NULL,35
622,2025-08-18 16:04:54.255244+00,2025-08-18 16:04:54.255248+00,ENG,Red,NULL,4
623,2025-08-18 16:04:54.256551+00,2025-08-18 16:04:54.256555+00,RUS,Желтый,NULL,35
624,2025-08-18 16:04:54.257327+00,2025-08-18 16:04:54.257331+00,ENG,Yellow,NULL,4
625,2025-08-18 16:04:54.258682+00,2025-08-18 16:04:54.258686+00,RUS,Белый,NULL,35
626,2025-08-18 16:04:54.259419+00,2025-08-18 16:04:54.259422+00,ENG,White,NULL,4
627,2025-08-18 16:04:54.260884+00,2025-08-18 16:04:54.260888+00,RUS,Черный,NULL,35
628,2025-08-18 16:04:54.261674+00,2025-08-18 16:04:54.261677+00,ENG,Black,NULL,4
629,2025-08-18 16:04:54.263102+00,2025-08-18 16:04:54.263106+00,RUS,Наливка,NULL,58
630,2025-08-18 16:04:54.263987+00,2025-08-18 16:04:54.263992+00,ENG,Liqueur,NULL,16
631,2025-08-18 16:04:54.265594+00,2025-08-18 16:04:54.2656+00,RUS,Бальзам,NULL,58
632,2025-08-18 16:04:54.266525+00,2025-08-18 16:04:54.266529+00,ENG,Balsam,NULL,16
633,2025-08-18 16:04:54.267984+00,2025-08-18 16:04:54.26799+00,RUS,Биттер,NULL,58
634,2025-08-18 16:04:54.26879+00,2025-08-18 16:04:54.268794+00,ENG,Bitter,NULL,16
635,2025-08-18 16:04:54.270149+00,2025-08-18 16:04:54.270153+00,RUS,Хреновуха,NULL,58
636,2025-08-18 16:04:54.270928+00,2025-08-18 16:04:54.270931+00,ENG,Khrenovukha,NULL,16
637,2025-08-18 16:04:54.272171+00,2025-08-18 16:04:54.272174+00,RUS,Зубровка,NULL,58
638,2025-08-18 16:04:54.272956+00,2025-08-18 16:04:54.27296+00,ENG,Zubrovka,NULL,16
639,2025-08-18 16:04:54.274294+00,2025-08-18 16:04:54.274298+00,RUS,Ерофеич,NULL,58
640,2025-08-18 16:04:54.275071+00,2025-08-18 16:04:54.275075+00,ENG,Erofeich,NULL,16
641,2025-08-18 16:04:54.276451+00,2025-08-18 16:04:54.276455+00,RUS,Ратафия,NULL,58
642,2025-08-18 16:04:54.277297+00,2025-08-18 16:04:54.277301+00,ENG,Ratafia,NULL,16
